match_id,match_date,team1,team2,result_type,winner_team_id,winner_team,win_margin,venue_name
1,2025-02-19,"New Zealand",Pakistan,NULL,103,"New Zealand","60 runs","National Stadium"
2,2025-02-20,Bangladesh,India,NULL,101,India,"6 wickets","Dubai International Cricket Stadium"
3,2025-02-21,"South Africa",Afghanistan,NULL,102,"South Africa","107 runs","National Stadium"
4,2025-02-22,England,Australia,NULL,104,Australia,"5 wickets","Gaddafi Stadium"
5,2025-02-23,Pakistan,India,NULL,101,India,"6 wickets","Dubai International Cricket Stadium"
6,2025-02-24,Bangladesh,"New Zealand",NULL,103,"New Zealand","5 wickets","Rawalpindi Cricket Stadium"
7,2025-02-25,Australia,"South Africa",Abandoned,NULL,NULL,NULL,"Rawalpindi Cricket Stadium"
8,2025-02-26,Afghanistan,England,NULL,105,Afghanistan,"8 runs","Gaddafi Stadium"
9,2025-02-27,Pakistan,Bangladesh,Abandoned,NULL,NULL,NULL,"Rawalpindi Cricket Stadium"
10,2025-02-28,Afghanistan,Australia,"No Result",NULL,NULL,NULL,"Gaddafi Stadium"
11,2025-03-01,England,"South Africa",NULL,102,"South Africa","7 wickets","National Stadium"
12,2025-03-02,India,"New Zealand",NULL,101,India,"44 runs","Dubai International Cricket Stadium"
13,2025-03-04,Australia,India,NULL,101,India,"4 wickets","Dubai International Cricket Stadium"
14,2025-03-05,"New Zealand","South Africa",NULL,103,"New Zealand","50 runs","Gaddafi Stadium"
15,2025-03-09,"New Zealand",India,NULL,101,India,"4 wickets","Dubai International Cricket Stadium"
